Superfamily,Family,Genus,Species,Brain_Size_Species_Mean,Mass_Dimorphism,MeanGroupSize,InterbirthInterval_d,WeaningAge_d,MaxLongevity_m,LitterSz,Precip_Mean_mm,Temp_Mean_degC,HomeRange_km2,DayLength_km,Territoriality,Canine_Dimorphism
Cercopithecoidea,Cercopithecidae,Macaca,mulatta,88.98,1.396,40.7,385.5,304.16,432,1.01,1173.6,16.9,5.91,1.6,0.5833,2.072
Cercopithecoidea,Cercopithecidae,Macaca,nemestrina,105.59,1.698,18.2,405.07,292.6,411.6,1.01,2449.8,24.7,1.75,1.8,1.2059,2.36
Cercopithecoidea,Cercopithecidae,Macaca,nigra,94.9,1.808,63.8,540,365,408,1,NA,NA,NA,6,NA,2.612
Cercopithecoidea,Cercopithecidae,Macaca,ochreata,NA,1.615,NA,NA,NA,348,NA,NA,NA,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Macaca,radiata,74.87,1.637,30,365,332.25,360,1.01,937.4,26.5,0.88,1.75,1.6533,NA
Cercopithecoidea,Cercopithecidae,Macaca,silenus,85,1.459,19.6,510.39,362.93,480,1.01,880.7,25.3,0.88,1.63,1.5399,2.437
Cercopithecoidea,Cercopithecidae,Macaca,sinica,69.7,1.775,24.5,547.5,396,420,1.01,1416.7,25.8,0.4,NA,NA,1.977
Cercopithecoidea,Cercopithecidae,Macaca,sylvanus,93.2,1.51,18.2,431.71,210.25,264,1.02,459.3,14.8,2.63,1.664,0.9093,2.02
Cercopithecoidea,Cercopithecidae,Macaca,thibetana,NA,1.6,38.3,730,451.79,NA,1.01,1198,13,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Mandrillus,leucophaeus,148,1.4,NA,513.43,486.66,400.8,1.01,2032.9,24.3,NA,NA,NA,4.1
Cercopithecoidea,Cercopithecidae,Mandrillus,sphinx,153.88,2.688,NA,521.64,348.01,555.96,1.02,1611.8,24.4,26.34,3,0.518,5.263
Lemuroidea,Cheirogalidae,Microcebus,murinus,1.63,0.938,1,365,40.45,186,2,851.2,24.1,0.01,NA,NA,0.995
Lemuroidea,Cheirogalidae,Microcebus,myoxinus,NA,1.033,1,NA,NA,NA,2,822.6,24.8,NA,NA,NA,NA
Lemuroidea,Cheirogalidae,Microcebus,rufus,1.72,1.024,1,NA,40,144,2.52,1714.4,20,0.01,NA,NA,0.939
Cercopithecoidea,Cercopithecidae,Miopithecus,talapoin,37.35,1.244,66.5,365,178.98,370.8,1.01,1043.1,23.2,0.8,2.4,2.378,1.694
