Superfamily,Family,Genus,Species,Brain_Size_Species_Mean,Mass_Dimorphism,MeanGroupSize,InterbirthInterval_d,WeaningAge_d,MaxLongevity_m,LitterSz,Precip_Mean_mm,Temp_Mean_degC,HomeRange_km2,DayLength_km,Territoriality,Canine_Dimorphism
Cercopithecoidea,Cercopithecidae,Cercopithecus,diana,62.61,1.333,24,365,362.93,447.6,1.01,2375.7,24.8,1.25,1.6,1.2683,1.618
Cercopithecoidea,Cercopithecidae,Cercopithecus,erythrotis,65.4,1.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.759
Cercopithecoidea,Cercopithecidae,Cercopithecus,hamlyni,65.9,1.634,NA,NA,NA,343.2,NA,NA,NA,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Cercopithecus,lhoesti,74.2,1.73,NA,485.45,NA,192,1,1271.3,22.6,NA,NA,NA,1.84
Cercopithecoidea,Cercopithecidae,Cercopithecus,mitis,71.33,1.64,18.6,565.75,688.08,325.2,1,1090.8,22.1,0.1,1,2.8025,1.97
Cercopithecoidea,Cercopithecidae,Cercopithecus,mona,61.84,1.722,4.8,NA,NA,360,1,NA,NA,NA,NA,NA,1.9
Cercopithecoidea,Cercopithecidae,Cercopithecus,neglectus,65.97,1.78,4.5,584,417.62,315.6,1.02,1382.9,24.1,0.06,0.42,1.5196,1.776
Cercopithecoidea,Cercopithecidae,Cercopithecus,nictitans,71.13,1.566,13,719,NA,276,1,1482.7,24.7,1.15,1.5,1.2396,1.613
Cercopithecoidea,Cercopithecidae,Cercopithecus,petaurista,55.08,1.474,11.3,NA,NA,228,1.02,1677.7,25.9,NA,NA,NA,1.777
Cercopithecoidea,Cercopithecidae,Cercopithecus,pogonias,59.56,1.469,13,730,NA,289.2,1.01,1460.5,24.5,1.15,1.75,1.4462,1.652
Cercopithecoidea,Cercopithecidae,Cercopithecus,preussi,NA,NA,NA,NA,NA,312,1.02,2348.2,24.5,NA,NA,NA,1.774
Cercopithecoidea,Cercopithecidae,Cercopithecus,solatus,NA,1.758,NA,547.5,NA,NA,1.01,1734.9,24.8,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Cercopithecus,wolfi,61.45,1.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.883
Lemuroidea,Cheirogalidae,Cheirogaleus,major,5.81,1.21,1,NA,47.14,180,2.26,1676.3,20.3,0.02,NA,NA,NA
Lemuroidea,Cheirogalidae,Cheirogaleus,medius,2.6,1.007,1,365,60.65,231.6,2.04,850.8,24,0.02,NA,NA,0.942
Ceboidea,Pitheciidae,Chiropotes,satanas,48.33,1.047,18.5,NA,NA,235.2,1,NA,NA,2.25,2.5,1.477,1.155
Cercopithecoidea,Cercopithecidae,Chlorocebus,aethiops,65,1.448,19.5,357,182,369.6,1,NA,NA,NA,1.2,NA,1.583
Cercopithecoidea,Cercopithecidae,Chlorocebus,pygerythrus,62.58,1.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Chlorocebus,sabaeus,64.91,1.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Colobus,angolensis,77.7,1.279,18.25,NA,NA,423.6,1.01,1229.1,23.3,3.71,0.983,0.4523,1.845
Cercopithecoidea,Cercopithecidae,Colobus,guereza,74.39,1.289,12,486.66,387.79,294,1,1089.2,23.2,0.3,0.48,0.735,1.459
Cercopithecoidea,Cercopithecidae,Colobus,polykomos,73.83,1.193,11,442.41,213.78,366,1,1807.6,25.7,0.5,0.57,0.7108,1.77
Cercopithecoidea,Cercopithecidae,Colobus,satanas,74.9,1.402,13.5,NA,NA,NA,0.99,1654.6,24.1,2.72,0.607,0.3262,NA
Cercopithecoidea,Cercopithecidae,Colobus,vellerosus,73.07,1.166,NA,NA,NA,NA,1.02,1067.2,26.8,0.29,NA,NA,NA
Daubentoniodea,Daubentonidae,Daubentonia,madagascariensis,44.85,1.052,1,760.41,197.7,291.6,1.01,1491.3,21.7,0.356,2.95,4.3817,NA
Cercopithecoidea,Cercopithecidae,Erythrocebus,patas,97.73,1.908,28.2,365,211.79,286.8,1.01,733.9,26.4,28.24,3.2,0.5337,2.132
Lemuroidea,Lemuridae,Eulemur,albifrons,21.45,1.048,9,NA,NA,NA,NA,NA,NA,0.13,0.9825,2.4149,NA
Lemuroidea,Lemuridae,Eulemur,albocollaris,22.1,1.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemuroidea,Lemuridae,Eulemur,collaris,NA,NA,7,NA,NA,NA,NA,NA,NA,0.7,2.5,2.6481,NA
Lemuroidea,Lemuridae,Eulemur,coronatus,20.65,1.185,9.25,NA,NA,220.8,1.53,1050.9,23.8,0.123,0.912,2.3046,1.116
Lemuroidea,Lemuridae,Eulemur,fulvus,25.77,0.964,8.9,547.5,134.64,444,1.1,1561.3,21.4,0.162,0.447,0.9842,1.176
Lemuroidea,Lemuridae,Eulemur,macaco,24.51,0.967,10,365,143.28,360,1.04,1341.9,22.3,0.053,NA,NA,1.02
Lemuroidea,Lemuridae,Eulemur,mongoz,20.17,0.892,2.93,365,151.13,360,1.11,1258.8,26.2,0.042,0.712,3.0789,1.197
Lemuroidea,Lemuridae,Eulemur,rubriventer,26.23,1.021,3,NA,151.22,240,1.01,1781.1,19.4,0.2,0.444,0.8799,1.051
